Name of State / UT,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
Andaman and Nicobar Islands,130,130,130,130,130,130
Andhra Pradesh,144,144,144,144,144,144
Arunachal Pradesh,122,122,122,122,122,122
Assam,124,124,124,124,124,124
Bihar,134,134,134,134,134,134
Chandigarh,135,135,135,135,135,135
Chhattisgarh,137,137,137,137,137,137
Dadra and Nagar Haveli and Daman and Diu,89,89,89,89,89,89
Delhi,154,154,154,154,154,154
Goa,130,130,130,130,130,130
Gujarat,136,136,136,136,136,136
Haryana,152,152,152,152,152,152
Himachal Pradesh,135,135,135,135,135,135
Jammu and Kashmir,135,135,135,135,135,135
Jharkhand,124,124,124,124,124,124
Karnataka,147,147,147,147,147,147
Kerala,186,186,186,186,186,186
Ladakh,135,135,135,135,135,135
Madhya Pradesh,135,135,135,135,135,135
Maharashtra,147,147,147,147,147,147
Manipur,132,132,132,132,132,132
Meghalaya,111,111,111,111,111,111
Mizoram,131,131,131,131,131,131
Nagaland,69,69,69,69,69,69
Odisha,140,140,140,140,140,140
Puducherry,138,138,138,138,138,138
Punjab,147,147,147,147,147,147
Rajasthan,152,152,152,152,152,152
Sikkim,71,71,71,71,71,71
Tamil Nadu,149,149,149,149,149,149
Telangana,51,51,51,51,51,51
Telangana***,1,1,1,1,1,1
Telengana,102,102,102,102,102,102
Tripura,118,118,118,118,118,118
Union Territory of Chandigarh,2,2,2,2,2,2
Union Territory of Jammu and Kashmir,12,12,12,12,12,12
Union Territory of Ladakh,14,14,14,14,14,14
Uttar Pradesh,152,152,152,152,152,152
Uttarakhand,141,141,141,141,141,141
West Bengal,128,128,128,128,128,128
