,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
0,01 April ,1,1,1,1,1,1
1,01 August ,1,1,1,1,1,1
2,01 February ,1,1,1,1,1,1
3,01 July ,1,1,1,1,1,1
4,01 June ,1,1,1,1,1,1
5,01 March ,1,1,1,1,1,1
6,01 May ,1,1,1,1,1,1
7,02 April ,1,1,1,1,1,1
8,02 August ,1,1,1,1,1,1
9,02 February ,1,1,1,1,1,1
10,02 July ,1,1,1,1,1,1
11,02 June ,1,1,1,1,1,1
12,02 March ,1,1,1,1,1,1
13,02 May ,1,1,1,1,1,1
14,03 April ,1,1,1,1,1,1
15,03 August ,1,1,1,1,1,1
16,03 February ,1,1,1,1,1,1
17,03 July ,1,1,1,1,1,1
18,03 June ,1,1,1,1,1,1
19,03 March ,1,1,1,1,1,1
20,03 May ,1,1,1,1,1,1
21,04 April ,1,1,1,1,1,1
22,04 August ,1,1,1,1,1,1
23,04 February ,1,1,1,1,1,1
24,04 July ,1,1,1,1,1,1
25,04 June ,1,1,1,1,1,1
26,04 March ,1,1,1,1,1,1
27,04 May ,1,1,1,1,1,1
28,05 April ,1,1,1,1,1,1
29,05 August ,1,1,1,1,1,1
30,05 February ,1,1,1,1,1,1
31,05 July ,1,1,1,1,1,1
32,05 June ,1,1,1,1,1,1
33,05 March ,1,1,1,1,1,1
34,05 May ,1,1,1,1,1,1
35,06 April ,1,1,1,1,1,1
36,06 August ,1,1,1,1,1,1
37,06 February ,1,1,1,1,1,1
38,06 July ,1,1,1,1,1,1
39,06 June ,1,1,1,1,1,1
40,06 March ,1,1,1,1,1,1
41,06 May ,1,1,1,1,1,1
42,07 April ,1,1,1,1,1,1
43,07 February ,1,1,1,1,1,1
44,07 July ,1,1,1,1,1,1
45,07 June ,1,1,1,1,1,1
46,07 March ,1,1,1,1,1,1
47,07 May ,1,1,1,1,1,1
48,08 April ,1,1,1,1,1,1
49,08 February ,1,1,1,1,1,1
50,08 July ,1,1,1,1,1,1
51,08 June ,1,1,1,1,1,1
52,08 March ,1,1,1,1,1,1
53,08 May ,1,1,1,1,1,1
54,09 April ,1,1,1,1,1,1
55,09 February ,1,1,1,1,1,1
56,09 July ,1,1,1,1,1,1
57,09 June ,1,1,1,1,1,1
58,09 March ,1,1,1,1,1,1
59,09 May ,1,1,1,1,1,1
60,10 April ,1,1,1,1,1,1
61,10 February ,1,1,1,1,1,1
62,10 July ,1,1,1,1,1,1
63,10 June ,1,1,1,1,1,1
64,10 March ,1,1,1,1,1,1
65,10 May ,1,1,1,1,1,1
66,11 April ,1,1,1,1,1,1
67,11 February ,1,1,1,1,1,1
68,11 July ,1,1,1,1,1,1
69,11 June ,1,1,1,1,1,1
70,11 March ,1,1,1,1,1,1
71,11 May ,1,1,1,1,1,1
72,12 April ,1,1,1,1,1,1
73,12 February ,1,1,1,1,1,1
74,12 July ,1,1,1,1,1,1
75,12 June ,1,1,1,1,1,1
76,12 March ,1,1,1,1,1,1
77,12 May ,1,1,1,1,1,1
78,13 April ,1,1,1,1,1,1
79,13 February ,1,1,1,1,1,1
80,13 July ,1,1,1,1,1,1
81,13 June ,1,1,1,1,1,1
82,13 March ,1,1,1,1,1,1
83,13 May ,1,1,1,1,1,1
84,14 April ,1,1,1,1,1,1
85,14 February ,1,1,1,1,1,1
86,14 July ,1,1,1,1,1,1
87,14 June ,1,1,1,1,1,1
88,14 March ,1,1,1,1,1,1
89,14 May ,1,1,1,1,1,1
90,15 April ,1,1,1,1,1,1
91,15 February ,1,1,1,1,1,1
92,15 July ,1,1,1,1,1,1
93,15 June ,1,1,1,1,1,1
94,15 March ,1,1,1,1,1,1
95,15 May ,1,1,1,1,1,1
96,16 April ,1,1,1,1,1,1
97,16 February ,1,1,1,1,1,1
98,16 July ,1,1,1,1,1,1
99,16 June ,1,1,1,1,1,1
100,16 March ,1,1,1,1,1,1
101,16 May ,1,1,1,1,1,1
102,17 April ,1,1,1,1,1,1
103,17 February ,1,1,1,1,1,1
104,17 July ,1,1,1,1,1,1
105,17 June ,1,1,1,1,1,1
106,17 March ,1,1,1,1,1,1
107,17 May ,1,1,1,1,1,1
108,18 April ,1,1,1,1,1,1
109,18 February ,1,1,1,1,1,1
110,18 July ,1,1,1,1,1,1
111,18 June ,1,1,1,1,1,1
112,18 March ,1,1,1,1,1,1
113,18 May ,1,1,1,1,1,1
114,19 April ,1,1,1,1,1,1
115,19 February ,1,1,1,1,1,1
116,19 July ,1,1,1,1,1,1
117,19 June ,1,1,1,1,1,1
118,19 March ,1,1,1,1,1,1
119,19 May ,1,1,1,1,1,1
120,20 April ,1,1,1,1,1,1
121,20 February ,1,1,1,1,1,1
122,20 July ,1,1,1,1,1,1
123,20 June ,1,1,1,1,1,1
124,20 March ,1,1,1,1,1,1
125,20 May ,1,1,1,1,1,1
126,21 April ,1,1,1,1,1,1
127,21 February ,1,1,1,1,1,1
128,21 July ,1,1,1,1,1,1
129,21 June ,1,1,1,1,1,1
130,21 March ,1,1,1,1,1,1
131,21 May ,1,1,1,1,1,1
132,22 April ,1,1,1,1,1,1
133,22 February ,1,1,1,1,1,1
134,22 July ,1,1,1,1,1,1
135,22 June ,1,1,1,1,1,1
136,22 March ,1,1,1,1,1,1
137,22 May ,1,1,1,1,1,1
138,23 April ,1,1,1,1,1,1
139,23 February ,1,1,1,1,1,1
140,23 July ,1,1,1,1,1,1
141,23 June ,1,1,1,1,1,1
142,23 March ,1,1,1,1,1,1
143,23 May ,1,1,1,1,1,1
144,24 April ,1,1,1,1,1,1
145,24 February ,1,1,1,1,1,1
146,24 July ,1,1,1,1,1,1
147,24 June ,1,1,1,1,1,1
148,24 March ,1,1,1,1,1,1
149,24 May ,1,1,1,1,1,1
150,25 April ,1,1,1,1,1,1
151,25 February ,1,1,1,1,1,1
152,25 July ,1,1,1,1,1,1
153,25 June ,1,1,1,1,1,1
154,25 March ,1,1,1,1,1,1
155,25 May ,1,1,1,1,1,1
156,26 April ,1,1,1,1,1,1
157,26 February ,1,1,1,1,1,1
158,26 July ,1,1,1,1,1,1
159,26 June ,1,1,1,1,1,1
160,26 March ,1,1,1,1,1,1
161,26 May ,1,1,1,1,1,1
162,27 April ,1,1,1,1,1,1
163,27 February ,1,1,1,1,1,1
164,27 July ,1,1,1,1,1,1
165,27 June ,1,1,1,1,1,1
166,27 March ,1,1,1,1,1,1
167,27 May ,1,1,1,1,1,1
168,28 April ,1,1,1,1,1,1
169,28 February ,1,1,1,1,1,1
170,28 July ,1,1,1,1,1,1
171,28 June ,1,1,1,1,1,1
172,28 March ,1,1,1,1,1,1
173,28 May ,1,1,1,1,1,1
174,29 April ,1,1,1,1,1,1
175,29 February ,1,1,1,1,1,1
176,29 July ,1,1,1,1,1,1
177,29 June ,1,1,1,1,1,1
178,29 March ,1,1,1,1,1,1
179,29 May ,1,1,1,1,1,1
180,30 April ,1,1,1,1,1,1
181,30 January ,1,1,1,1,1,1
182,30 July ,1,1,1,1,1,1
183,30 June ,1,1,1,1,1,1
184,30 March ,1,1,1,1,1,1
185,30 May ,1,1,1,1,1,1
186,31 January ,1,1,1,1,1,1
187,31 July ,1,1,1,1,1,1
188,31 March ,1,1,1,1,1,1
189,31 May ,1,1,1,1,1,1
